Year,Units,Art der Erkrankung,Series,Value
2010,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",20837
2011,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",20385
2012,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",17303
2013,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",18494
2014,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",17011
2015,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",16298
2016,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",15277
2017,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",15467
2018,Anzahl,,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",15652
2010,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2427
2011,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2443
2012,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2083
2013,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2389
2014,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2140
2015,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2219
2016,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2036
2017,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2232
2018,Anzahl,Chronisch obstruktive Lungenerkrankung (COPD),"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2241
2010,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",4773
2011,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",4876
2012,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",4144
2013,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",4431
2014,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",4263
2015,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",3910
2016,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",3808
2017,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",3752
2018,Anzahl,Lungenkrebs,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",3785
2010,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2516
2011,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2480
2012,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2088
2013,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2204
2014,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",2056
2015,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",1933
2016,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",1878
2017,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",1831
2018,Anzahl,Schlaganfall,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",1871
2010,Anzahl,Ischämische Herzerkrankungen,"Attributable Todesfälle zurückzuführen auf eine langfristige Exposition mit Feinstaub (PM2,5) in der Bevölkerung ab 25 Jahren",10295
