Year,Units,timeseries,Value
2011,no unit,ratio of land consumption rate to population growth rate,6.8
2012,no unit,ratio of land consumption rate to population growth rate,2.0
2013,no unit,ratio of land consumption rate to population growth rate,1.6
2014,no unit,ratio of land consumption rate to population growth rate,1.1
2015,no unit,ratio of land consumption rate to population growth rate,0.3
2016,no unit,ratio of land consumption rate to population growth rate,0.9
2017,no unit,ratio of land consumption rate to population growth rate,1.6
2010,2010 = 100,proportion of settlement and transport areas to population,100.0
2011,2010 = 100,proportion of settlement and transport areas to population,100.8
2012,2010 = 100,proportion of settlement and transport areas to population,101.0
2013,2010 = 100,proportion of settlement and transport areas to population,101.2
2014,2010 = 100,proportion of settlement and transport areas to population,101.3
2015,2010 = 100,proportion of settlement and transport areas to population,100.4
2016,2010 = 100,proportion of settlement and transport areas to population,100.4
2017,2010 = 100,proportion of settlement and transport areas to population,100.6
2010,%,land consumption rate,0.6
2011,%,land consumption rate,0.9
2012,%,land consumption rate,0.5
2013,%,land consumption rate,0.5
2014,%,land consumption rate,0.6
2015,%,land consumption rate,0.4
2016,%,land consumption rate,0.4
2017,%,land consumption rate,0.5
2010,%,population growth rate,0.1
2011,%,population growth rate,0.1
2012,%,population growth rate,0.2
2013,%,population growth rate,0.3
2014,%,population growth rate,0.5
2015,%,population growth rate,1.2
2016,%,population growth rate,0.4
2017,%,population growth rate,0.3
