Year,Time series,Education level,Technology,Subject,Value
2010,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2011,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,97.6
2012,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2013,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2014,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2015,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2016,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,94.5
2017,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2018,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2019,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2020,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Reading,
2010,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2011,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,97.3
2012,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2013,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2014,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2015,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,96.3
2016,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2017,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2018,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2019,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2020,Children and youths with a minimum proficiency in reading or mathematics,b) At the end of lower primary education,,Mathematics,
2010,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2011,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2012,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,85.6
2013,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2014,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2015,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,83.7
2016,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2017,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2018,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,79.3
2019,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2020,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Reading,
2010,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2011,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2012,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,82.3
2013,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2014,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2015,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,82.8
2016,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2017,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2018,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,78.8
2019,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2020,Children and youths with a minimum proficiency in reading or mathematics,c) At the end of lower secondary education,,Mathematics,
2010,Population using safely managed drinking water services,,,,100.0
2011,Population using safely managed drinking water services,,,,100.0
2012,Population using safely managed drinking water services,,,,100.0
2013,Population using safely managed drinking water services,,,,100.0
2014,Population using safely managed drinking water services,,,,100.0
2015,Population using safely managed drinking water services,,,,100.0
2016,Population using safely managed drinking water services,,,,100.0
2017,Population using safely managed drinking water services,,,,100.0
2018,Population using safely managed drinking water services,,,,100.0
2019,Population using safely managed drinking water services,,,,100.0
2020,Population using safely managed drinking water services,,,,100.0
2010,Population using safely managed sanitation services,,,,
2011,Population using safely managed sanitation services,,,,98.6
2012,Population using safely managed sanitation services,,,,98.61
2013,Population using safely managed sanitation services,,,,99.4
2014,Population using safely managed sanitation services,,,,99.52
2015,Population using safely managed sanitation services,,,,99.42
2016,Population using safely managed sanitation services,,,,99.4
2017,Population using safely managed sanitation services,,,,99.53
2018,Population using safely managed sanitation services,,,,
2019,Population using safely managed sanitation services,,,,99.62
2020,Population using safely managed sanitation services,,,,
2010,Households covered by 3G or LTE,,3G,,86.6
2011,Households covered by 3G or LTE,,3G,,88.5
2012,Households covered by 3G or LTE,,3G,,90.4
2013,Households covered by 3G or LTE,,3G,,92.2
2014,Households covered by 3G or LTE,,3G,,92.5
2015,Households covered by 3G or LTE,,3G,,91.9
2016,Households covered by 3G or LTE,,3G,,91.4
2017,Households covered by 3G or LTE,,3G,,90.6
2018,Households covered by 3G or LTE,,3G,,
2019,Households covered by 3G or LTE,,3G,,
2020,Households covered by 3G or LTE,,3G,,
2010,Households covered by 3G or LTE,,LTE,,2.1
2011,Households covered by 3G or LTE,,LTE,,21.5
2012,Households covered by 3G or LTE,,LTE,,51.7
2013,Households covered by 3G or LTE,,LTE,,81.0
2014,Households covered by 3G or LTE,,LTE,,92.1
2015,Households covered by 3G or LTE,,LTE,,95.7
2016,Households covered by 3G or LTE,,LTE,,96.2
2017,Households covered by 3G or LTE,,LTE,,96.2
2018,Households covered by 3G or LTE,,LTE,,
2019,Households covered by 3G or LTE,,LTE,,
2020,Households covered by 3G or LTE,,LTE,,
2010,Population that has convenient access to public transport (within 500 meters),,,,
2011,Population that has convenient access to public transport (within 500 meters),,,,
2012,Population that has convenient access to public transport (within 500 meters),,,,
2013,Population that has convenient access to public transport (within 500 meters),,,,
2014,Population that has convenient access to public transport (within 500 meters),,,,
2015,Population that has convenient access to public transport (within 500 meters),,,,
2016,Population that has convenient access to public transport (within 500 meters),,,,78.95
2017,Population that has convenient access to public transport (within 500 meters),,,,
2018,Population that has convenient access to public transport (within 500 meters),,,,79.9
2019,Population that has convenient access to public transport (within 500 meters),,,,
2020,Population that has convenient access to public transport (within 500 meters),,,,
2010,Municipal solid waste regularly collected and treated,,,,100.0
2011,Municipal solid waste regularly collected and treated,,,,100.0
2012,Municipal solid waste regularly collected and treated,,,,100.0
2013,Municipal solid waste regularly collected and treated,,,,100.0
2014,Municipal solid waste regularly collected and treated,,,,100.0
2015,Municipal solid waste regularly collected and treated,,,,100.0
2016,Municipal solid waste regularly collected and treated,,,,100.0
2017,Municipal solid waste regularly collected and treated,,,,100.0
2018,Municipal solid waste regularly collected and treated,,,,100.0
2019,Municipal solid waste regularly collected and treated,,,,100.0
2020,Municipal solid waste regularly collected and treated,,,,100.0
