Year,Units,Sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,"Million USD, constant prices (2024)",,,,,2828.4
2011,"Million USD, constant prices (2024)",,,,,2537.8
2012,"Million USD, constant prices (2024)",,,,,2072.1
2013,"Million USD, constant prices (2024)",,,,,2653.9
2014,"Million USD, constant prices (2024)",,,,,3066.7
2015,"Million USD, constant prices (2024)",,,,,4086.4
2016,"Million USD, constant prices (2024)",,,,,4146.5
2017,"Million USD, constant prices (2024)",,,,,3730.7
2018,"Million USD, constant prices (2024)",,,,,4275.3
2019,"Million USD, constant prices (2024)",,,,,4385.9
2020,"Million USD, constant prices (2024)",,,,,4321.1
2021,"Million USD, constant prices (2024)",,,,,3474.5
2022,"Million USD, constant prices (2024)",,,,,4227.1
2023,"Million USD, constant prices (2024)",,,,,4123.2
2024,"Million USD, constant prices (2024)",,,,,5115.2
2010,"Million USD, constant prices (2024)",Water supply & sanitation,,,,689.4
2011,"Million USD, constant prices (2024)",Water supply & sanitation,,,,750.3
2012,"Million USD, constant prices (2024)",Water supply & sanitation,,,,673.0
2013,"Million USD, constant prices (2024)",Water supply & sanitation,,,,718.4
2014,"Million USD, constant prices (2024)",Water supply & sanitation,,,,987.4
2015,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1056.1
2016,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1045.4
2017,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1096.9
2018,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1130.5
2019,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1054.8
2020,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1176.4
2021,"Million USD, constant prices (2024)",Water supply & sanitation,,,,922.1
2022,"Million USD, constant prices (2024)",Water supply & sanitation,,,,972.3
2023,"Million USD, constant prices (2024)",Water supply & sanitation,,,,988.5
2024,"Million USD, constant prices (2024)",Water supply & sanitation,,,,1405.1
2010,"Million USD, constant prices (2024)",Transport and storage,,,,407.9
