Year,Sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2022,,,,,Output of the environmental goods and services sector (EGSS),286978.155
2023,,p,,,Output of the environmental goods and services sector (EGSS),284514.935
2010,,,,,Gross fixed capital formation for environmental protection activities,10279.0
2011,,,,,Gross fixed capital formation for environmental protection activities,11415.0
2012,,,,,Gross fixed capital formation for environmental protection activities,11701.0
2013,,,,,Gross fixed capital formation for environmental protection activities,11331.0
2014,,r,,,Gross fixed capital formation for environmental protection activities,12659.0
2015,,,,,Gross fixed capital formation for environmental protection activities,12117.0
2016,,,,,Gross fixed capital formation for environmental protection activities,12824.0
2017,,,,,Gross fixed capital formation for environmental protection activities,13263.0
2018,,,,,Gross fixed capital formation for environmental protection activities,14747.0
2019,,,,,Gross fixed capital formation for environmental protection activities,15577.0
2020,,,,,Gross fixed capital formation for environmental protection activities,16070.0
2021,,,,,Gross fixed capital formation for environmental protection activities,14209.0
2022,,p,,,Gross fixed capital formation for environmental protection activities,15929.0
2010,General government,,,,Gross fixed capital formation for environmental protection activities,2726.0
2011,General government,,,,Gross fixed capital formation for environmental protection activities,3434.0
2012,General government,,,,Gross fixed capital formation for environmental protection activities,3716.0
2013,General government,,,,Gross fixed capital formation for environmental protection activities,3708.0
2014,General government,r,,,Gross fixed capital formation for environmental protection activities,4271.0
2015,General government,,,,Gross fixed capital formation for environmental protection activities,4051.0
2016,General government,,,,Gross fixed capital formation for environmental protection activities,4594.0
2017,General government,,,,Gross fixed capital formation for environmental protection activities,4245.0
2018,General government,,,,Gross fixed capital formation for environmental protection activities,4625.0
2019,General government,,,,Gross fixed capital formation for environmental protection activities,4979.0
2020,General government,,,,Gross fixed capital formation for environmental protection activities,5028.0
2021,General government,,,,Gross fixed capital formation for environmental protection activities,3589.0
2022,General government,p,,,Gross fixed capital formation for environmental protection activities,3902.0
2010,Corporations,,,,Gross fixed capital formation for environmental protection activities,7553.0
2011,Corporations,,,,Gross fixed capital formation for environmental protection activities,7981.0
2012,Corporations,,,,Gross fixed capital formation for environmental protection activities,7985.0
2013,Corporations,,,,Gross fixed capital formation for environmental protection activities,7623.0
2014,Corporations,,,,Gross fixed capital formation for environmental protection activities,8388.0
2015,Corporations,,,,Gross fixed capital formation for environmental protection activities,8066.0
2016,Corporations,,,,Gross fixed capital formation for environmental protection activities,8230.0
2017,Corporations,,,,Gross fixed capital formation for environmental protection activities,9018.0
2018,Corporations,,,,Gross fixed capital formation for environmental protection activities,10123.0
2019,Corporations,,,,Gross fixed capital formation for environmental protection activities,10598.0
2020,Corporations,,,,Gross fixed capital formation for environmental protection activities,11042.0
2021,Corporations,,,,Gross fixed capital formation for environmental protection activities,10620.0
2022,Corporations,p,,,Gross fixed capital formation for environmental protection activities,12026.0
