Year,Treatment,Type of waste water,Value
2010,savely treated wastewater (total),,100.0
2011,savely treated wastewater (total),,100.0
2012,savely treated wastewater (total),,100.0
2013,savely treated wastewater (total),,100.0
2014,savely treated wastewater (total),,100.0
2015,savely treated wastewater (total),,100.0
2016,savely treated wastewater (total),,100.0
2017,savely treated wastewater (total),,100.0
2018,savely treated wastewater (total),,100.0
2010,Untreated wastewater that does not have to undergo treatment,,72.7
2013,Untreated wastewater that does not have to undergo treatment,,65.8
2016,Untreated wastewater that does not have to undergo treatment,,65.4
2010,Untreated wastewater that does not have to undergo treatment,Cooling water,68.3
2013,Untreated wastewater that does not have to undergo treatment,Cooling water,60.3
2016,Untreated wastewater that does not have to undergo treatment,Cooling water,59.7
2010,Untreated wastewater that does not have to undergo treatment,Other wastewater,4.4
2013,Untreated wastewater that does not have to undergo treatment,Other wastewater,5.5
2016,Untreated wastewater that does not have to undergo treatment,Other wastewater,5.7
