Year,type of proceeding,industry,länder,GeoCode,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,administrative offense proceedings,,,,,,,49686
2025,administrative offense proceedings,,,,,,,52125
2024,administrative offense proceedings,construction industry,,,,,,6856
2025,administrative offense proceedings,construction industry,,,,,,6888
2024,administrative offense proceedings,restaurant and lodging industry,,,,,,12440
2025,administrative offense proceedings,restaurant and lodging industry,,,,,,13593
2024,administrative offense proceedings,hairdressing and beauty industry,,,,,,1406
2025,administrative offense proceedings,hairdressing and beauty industry,,,,,,1863
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",,,,,,3169
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",,,,,,3107
2024,administrative offense proceedings,,baden-württemberg,code08,,,,7404
2025,administrative offense proceedings,,baden-württemberg,code08,,,,7074
2024,administrative offense proceedings,construction industry,baden-württemberg,code08,,,,919
2025,administrative offense proceedings,construction industry,baden-württemberg,code08,,,,946
2024,administrative offense proceedings,restaurant and lodging industry,baden-württemberg,code08,,,,1909
2025,administrative offense proceedings,restaurant and lodging industry,baden-württemberg,code08,,,,1830
2024,administrative offense proceedings,hairdressing and beauty industry,baden-württemberg,code08,,,,199
2025,administrative offense proceedings,hairdressing and beauty industry,baden-württemberg,code08,,,,228
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",baden-württemberg,code08,,,,432
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",baden-württemberg,code08,,,,389
2024,administrative offense proceedings,,bavaria,code09,,,,6658
2025,administrative offense proceedings,,bavaria,code09,,,,6569
2024,administrative offense proceedings,construction industry,bavaria,code09,,,,905
2025,administrative offense proceedings,construction industry,bavaria,code09,,,,917
2024,administrative offense proceedings,restaurant and lodging industry,bavaria,code09,,,,1697
2025,administrative offense proceedings,restaurant and lodging industry,bavaria,code09,,,,1742
2024,administrative offense proceedings,hairdressing and beauty industry,bavaria,code09,,,,164
2025,administrative offense proceedings,hairdressing and beauty industry,bavaria,code09,,,,212
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",bavaria,code09,,,,702
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",bavaria,code09,,,,442
2024,administrative offense proceedings,,berlin,code11,,,,1714
2025,administrative offense proceedings,,berlin,code11,,,,2452
2024,administrative offense proceedings,construction industry,berlin,code11,,,,150
2025,administrative offense proceedings,construction industry,berlin,code11,,,,379
2024,administrative offense proceedings,restaurant and lodging industry,berlin,code11,,,,718
2025,administrative offense proceedings,restaurant and lodging industry,berlin,code11,,,,1038
2024,administrative offense proceedings,hairdressing and beauty industry,berlin,code11,,,,95
2025,administrative offense proceedings,hairdressing and beauty industry,berlin,code11,,,,117
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",berlin,code11,,,,108
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",berlin,code11,,,,143
2024,administrative offense proceedings,,brandenburg,code12,,,,1355
2025,administrative offense proceedings,,brandenburg,code12,,,,1335
2024,administrative offense proceedings,construction industry,brandenburg,code12,,,,195
2025,administrative offense proceedings,construction industry,brandenburg,code12,,,,175
2024,administrative offense proceedings,restaurant and lodging industry,brandenburg,code12,,,,320
2025,administrative offense proceedings,restaurant and lodging industry,brandenburg,code12,,,,398
2024,administrative offense proceedings,hairdressing and beauty industry,brandenburg,code12,,,,29
2025,administrative offense proceedings,hairdressing and beauty industry,brandenburg,code12,,,,54
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",brandenburg,code12,,,,49
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",brandenburg,code12,,,,87
2024,administrative offense proceedings,,bremen,code04,,,,2028
2025,administrative offense proceedings,,bremen,code04,,,,1649
2024,administrative offense proceedings,construction industry,bremen,code04,,,,183
2025,administrative offense proceedings,construction industry,bremen,code04,,,,192
2024,administrative offense proceedings,restaurant and lodging industry,bremen,code04,,,,338
2025,administrative offense proceedings,restaurant and lodging industry,bremen,code04,,,,361
2024,administrative offense proceedings,hairdressing and beauty industry,bremen,code04,,,,23
2025,administrative offense proceedings,hairdressing and beauty industry,bremen,code04,,,,35
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",bremen,code04,,,,99
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",bremen,code04,,,,47
2024,administrative offense proceedings,,hamburg,code02,,,,1234
2025,administrative offense proceedings,,hamburg,code02,,,,1619
2024,administrative offense proceedings,construction industry,hamburg,code02,,,,140
2025,administrative offense proceedings,construction industry,hamburg,code02,,,,103
2024,administrative offense proceedings,restaurant and lodging industry,hamburg,code02,,,,226
2025,administrative offense proceedings,restaurant and lodging industry,hamburg,code02,,,,262
2024,administrative offense proceedings,hairdressing and beauty industry,hamburg,code02,,,,40
2025,administrative offense proceedings,hairdressing and beauty industry,hamburg,code02,,,,56
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",hamburg,code02,,,,90
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",hamburg,code02,,,,120
2024,administrative offense proceedings,,hesse,code06,,,,4383
2025,administrative offense proceedings,,hesse,code06,,,,4611
2024,administrative offense proceedings,construction industry,hesse,code06,,,,870
2025,administrative offense proceedings,construction industry,hesse,code06,,,,788
2024,administrative offense proceedings,restaurant and lodging industry,hesse,code06,,,,843
2025,administrative offense proceedings,restaurant and lodging industry,hesse,code06,,,,922
2024,administrative offense proceedings,hairdressing and beauty industry,hesse,code06,,,,89
2025,administrative offense proceedings,hairdressing and beauty industry,hesse,code06,,,,163
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",hesse,code06,,,,317
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",hesse,code06,,,,326
2024,administrative offense proceedings,,mecklenburg western pomerania,code13,,,,759
2025,administrative offense proceedings,,mecklenburg western pomerania,code13,,,,902
2024,administrative offense proceedings,construction industry,mecklenburg western pomerania,code13,,,,36
2025,administrative offense proceedings,construction industry,mecklenburg western pomerania,code13,,,,62
2024,administrative offense proceedings,restaurant and lodging industry,mecklenburg western pomerania,code13,,,,243
2025,administrative offense proceedings,restaurant and lodging industry,mecklenburg western pomerania,code13,,,,210
2024,administrative offense proceedings,hairdressing and beauty industry,mecklenburg western pomerania,code13,,,,64
2025,administrative offense proceedings,hairdressing and beauty industry,mecklenburg western pomerania,code13,,,,35
2024,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",mecklenburg western pomerania,code13,,,,34
2025,administrative offense proceedings,"freight forwarding, transportation, and logistics industry",mecklenburg western pomerania,code13,,,,9
2024,administrative offense proceedings,,lower saxony,code03,,,,3447
2025,administrative offense proceedings,,lower saxony,code03,,,,4180
2024,administrative offense proceedings,construction industry,lower saxony,code03,,,,541
2025,administrative offense proceedings,construction industry,lower saxony,code03,,,,598
2024,administrative offense proceedings,restaurant and lodging industry,lower saxony,code03,,,,1130
2025,administrative offense proceedings,restaurant and lodging industry,lower saxony,code03,,,,1438
2024,administrative offense proceedings,hairdressing and beauty industry,lower saxony,code03,,,,79
2025,administrative offense proceedings,hairdressing and beauty industry,lower saxony,code03,,,,172
