Year,COMMENT_OBS,Series,Value
2010,,co₂ emissions per real gdp,353.2
2011,,co₂ emissions per real gdp,330.2
2012,,co₂ emissions per real gdp,330.7
2013,,co₂ emissions per real gdp,336.3
2014,,co₂ emissions per real gdp,313.7
2015,,co₂ emissions per real gdp,310.3
2016,,co₂ emissions per real gdp,305.4
2017,r,co₂ emissions per real gdp,291.9
2018,r,co₂ emissions per real gdp,277.4
2019,r,co₂ emissions per real gdp,259.0
2020,,co₂ emissions per real gdp,243.6
2010,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,498.9
2011,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,454.4
2012,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,453.2
2013,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,452.1
2014,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,425.2
2015,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,435.4
2016,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,429.2
2017,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,425.4
2018,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,404.6
2019,r,co₂ emissions per gross value added (price adjusted) in manufacturing industries,408.1
2020,,co₂ emissions per gross value added (price adjusted) in manufacturing industries,431.0
